IdProvincia;IdVigilante;Nombre;Huso;X;Y;fechabaja
5;5;Puerto del Pico;;;;
5;6;La Cebrera;;;;
5;7;Central de operaciones;;;;
5;8;Casa Forestal de Arenas;;;;
5;9;El Refugio;;;;
5;10;La Lastra;;;;
5;11;Las Portillas;;;;
5;12;La Cuquilla;;;;
5;13;Cruz de Seroles;;;;
5;14;Base de Helicóptero;;;;
5;15;Torre Orzaduero;;;;
5;16;Sin nombre (código 16);;;;
5;18;Sin nombre (código 18);;;;
5;19;Las Tejoneras;0;0;0;
5;99;Vigilante de otra provincia;;;;
6;0;No determinado;;;;
6;1;El Centinela;;;;
6;2;La Moralejas;;;;
6;3;Los Villares;;;;
6;4;Siera del Palo;;;;
6;5;El Azorejo;;;;
6;6;El Mirador;;;;
6;7;Presa Cíjara;;;;
6;8;El Aljibe;;;;
6;9;Las Víboras;;;;
6;10;El Castillo;;;;
6;11;El Perdigón;;;;
6;12;Peña Utrera;;;;
6;13;El Manzano;;;;
6;14;Los Chiqueros;;;;
6;15;Puerto Blanco;;;;
6;16;Arrazauces;;;;
6;17;El Manzano;;;;
6;18;La Rañuela;;;;
6;19;El  Robledillo (AB.);;;;
6;20;Puerto Lobo (AB.);;;;
6;21;Umbría Estena (AB.);;;;
6;22;Los Chopos (AB.);;;;
6;23;Base Valdemoros (AB.);;;;
6;24;La Habana (AB.);;;;
6;25;El Espárrago (AB.);;;;
6;26;Bienvenida;;;;
6;27;La Navilla;;;;
6;28;La Paja;;;;
6;29;El Portillo;;;;
6;30;Sierra Cañamero;30;295620;436042;
6;99;Vigilante de otra provincia;;;;
7;0;No determinado;;;;
7;1;Garrafa;;;;
7;2;S'Hostalet;;;;
7;3;Sonvida;;;;
7;4;Galatzo;;;;
7;5;Sobremunt;;;;
7;6;Penyal D'Honor;;;;
7;7;Alfabia;;;;
7;8;Fornalutx;;;;
7;9;Pollensa;;;;
7;10;Alcudia;;;;
7;11;Tudosa;;;;
7;12;Es Reco;;;;
7;13;Sant Jordi;;;;
7;14;Sant Salvador;;;;
7;15;Randa;;;;
7;16;Santa Magdalena;;;;
7;17;Asima;;;;
7;18;Mondrago;;;;
7;19;Son Segui;;;;
7;20;Monte Toro;;;;
7;21;S'Enclusa;;;;
7;22;Sant Vicenç;;;;
7;23;Sant Joan;;;;
7;24;Sant Llorenç;;;;
7;25;Sant Josep;;;;
7;26;Corb Mari;;;;
7;27;Camp Vell;;;;
7;28;CIR 14;;;;
7;29;S'Albufera;;;;
7;30;Son Segui (Sta Eugenia);;;;
8;0;No determinado;;;;
8;1;Montau;;;;
8;2;Fembre Morta;;;;
8;3;Turó de Cirers;;;;
8;4;El Corredor;;;;
8;5;Turó Gros de Montene;;;;
8;6;El Farell;;;;
8;7;La Mola;;;;
8;8;Ullastrell;;;;
8;9;Montseny;;;;
8;10;Puiggracios;;;;
8;11;Puig de Agulles;;;;
8;12;Guardiola de Font Rubi;;;;
8;13;Pic de la Aliga;;;;
8;14;Montgros;;;;
8;15;La Tossa de Montbui;;;;
8;16;Mediona;;;;
8;17;El Castellar;;;;
8;18;Creu dels Escolans;;;;
8;19;Castelladral;;;;
8;20;Montserrat;;;;
8;21;San Mateu de Bages;;;;
8;22;Castellfollit;;;;
8;23;Puig Caritat;;;;
8;24;Castell de Granera;;;;
8;25;Els Casals;;;;
8;26;Sabata;;;;
8;27;Turo Gros de Miralle;;;;
8;28;Serra de Galliners;;;;
8;29;Salt de la Minyona;;;;
8;30;Sin nombre (código 30);;;;
8;31;Sin nombre (código 31);;;;
8;62;Sin nombre (código 62);;;;
8;89;Sin nombre (código 89);;;;
8;99;Vigilante de otra provincia;;;;
8;101;Santa Cecilia. Marganell;0;0;0;
8;102;Montmajor;0;0;0;
8;103; Catalejo Sierra;0;0;0;
8;104;Catalejo Michael;0;0;0;
8;105;Catalejo Romeo;0;0;0;
8;106;India;0;0;0;
8;107;Catalejo Juliet;0;0;0;
8;108;Catalejo Golf;0;0;0;
8;109;Catalejo Kilo;0;0;0;
9;0;No determinado;;;;
9;1;Vivero: C. Operación;;;;
9;2;Alto Casarejos;;;;
9;3;Sin nombre (código 3);;;;
9;4;Cerro San Miguel;;;;
9;5;C. Forestal Quintana;;;;
9;6;C. Forestal Hontoria;;;;
9;7;Costalago;;;;
9;8;Alto Bedon;;;;
9;9;El Peñedo;;;;
9;10;C. Forestal Huerta.R;;;;
9;11;El Cerro;;;;
9;12;San Cristobal;;;;
9;13;El Castro;;;;
9;14;C. Forestal Oña;;;;
9;15;Susenes;;;;
9;16;Alto Tablones;;;;
9;17;Alto de Pañizares;;;;
9;18;Alto Guardia;;;;
9;19;C. Forestal Quisicedo;;;;
9;20;Sin nombre (código 20);;;;
9;21;Mirador de San Francisco;;;;
9;22;Las Zarras;;;;
9;24;Monte Mayor;;;;
9;25;Demanda;;;;
9;26;Valdesosoldo;;;;
9;27;C. Forestal Huerta A.;;;;
9;28;Gayubar;;;;
9;29;Salegar;;;;
9;30;Peña Aguda;;;;
9;31;Paramo de Masa;;;;
9;32;El Monte;;;;
9;33;Sin nombre (código 33);;;;
9;34;El Grajo;30;443274;4690516;
9;40;Mancubo;;;;
9;51;Sin nombre (código 51);;;;
9;53;Cielma;;;;
9;54;Colladio;;;;
9;55;Carmona;;;;
9;56;La Calabaza;;;;
9;57;Los Mazos;;;;
9;58;El Castillo;;;;
9;59;Treviño;;;;
9;60;Peña Lastra;30;476116;4775486;
9;61;ARAÑAS;30;498834;4642690;
9;62;PEÑA HURON;30;461456;4701589;
9;63;Ticumbea;30;487140;4681297;
9;99;Vigilante de otra provincia;;;;
10;0;No determinado;;;;
10;1;Sierra Palomera;;;;
10;2;Sierra de San Pedro;;;;
10;3;Pico de Colgadizo;;;;
10;4;Campillo de Deleitosa;;;;
10;5;Sierra de Cañamero;;;;
10;6;Cilleros;;;;
10;7;Sierra de Gata;;;;
10;8;Puerto de los Castaños;;;;
10;9;Cerro de las Cabezas;;;;
10;10;Las Navas;;;;
10;11;La Viñuela;;;;
10;12;El Espinar;;;;
10;13;Puerto de La Serrana;;;;
10;14;Puerto de Miravete;;;;
10;15;Pico de Ahycepo;;;;
10;16;Robledillo de Gata;;;;
10;17;Atalaya;;;;
10;18;Collado de los Lobos;;;;
10;19;Santa Catalina;;;;
10;20;Tornavacas;;;;
10;21;Pico de Corchuelas;;;;
10;22;Sierra de La Paja;;;;
10;23;Agachados;;;;
10;24;Sierra de Dios Padre;;;;
10;25;Mesa Llana;;;;
10;26;Pico Cervales;;;;
10;27;El Aljibe;;;;
10;28;Cerro Pedro Gómez;;;;
10;29;Pico del Cordón;;;;
10;30;Sierra Pintora;;;;
10;31;Valdesauce;;;;
10;32;Calama;;;;
10;33;Valverde del Fresno;;;;
10;34;Fátima;0;0;0;
10;35;La Gineta - Nuñomoral - Hurdes;29;734343;4474502;
10;36;Los Villares;0;0;0;
10;37;Sierra de Fría;29;646821;4354770;
10;99;Vigilante de otra provincia;;;;
11;0;No determinado;;;;
11;1;Roche;;;;
11;2;Breñas;;;;
11;3;Sierra de Fates;;;;
11;4;Tajo de las escobas;;;;
11;5;Montecoche;;;;
11;6;Sierra del Arca;;;;
11;7;Loma del Padrón;;;;
11;8;Benazainilla;;;;
11;9;Puerto de las Yeguas;;;;
11;10;Sierra del Valle;;;;
11;11;Pico de la Gallina;;;;
11;12;Pinsapar;;;;
11;13;Higuerón de Gaduares;;;;
11;14;Sierra de Lijar;;;;
11;15;Toleta;;;;
11;16;Quebradas;;;;
11;17;Olvera;;;;
11;18;Algaida;;;;
11;19;Malabrigo;;;;
11;20;Albarracín;;;;
11;21;Las Naranjas;;;;
11;22;Vigilante de otra provincia;0;0;0;
12;0;No determinado;;;;
12;1;Torreciprés;30;746625;4507213;
12;2;Villabona;30;754643;4496967;
12;3;Creu de Gelat;30;733236;4493759;
12;4;San Jorge;;;;
12;5;Ametler;30;778975;4468912;
12;6;Penyagolosa;30;725504;4455853;
12;7;Santa Bárbara;30;702352;4433633;
12;8;Desert de les Palmes;30;758834;4441811;
12;9;Peña Amador;30;693949;4422923;
12;10;Alto del Pinar;0;719958;4427425;
12;11;Boqueras;30;703185;4411879;
12;12;Puntal Algibe;30;728807;4416985;
12;13;Tristán;30;716447;4401517;
12;14;Fredes;30;766961;4509084;
12;15;Lloma Bernat;30;732558;4453928;
12;16;Cabezo;30;729210;4438944;
12;17;Subarra;30;762346;4453414;
12;18;El Picayo;30;734143;4474596;
12;19;Canalisses;30;741020;4517005;
12;20;El Frontón;30;709158;4439274;
12;21;El Turmell;30;761547;4496428;
12;22;La Muela;30;727317;4428841;
12;23;Canals;30;756064;4506263;
12;24;Pico de Águila;30;712650;4406384;
12;25;Central de Castellón;;;;
12;26;Feliciano;30;706211;4418517;
12;27;San José;30;771644;4478497;
12;99;Vigilante de otra provincia;;;;
13;0;No determinado;;;;
13;1;Cabañeros;;;;
13;2;Gargantón;;;;
13;3;Hontanar;;;;
13;4;Malagonas;;;;
13;5;Rondalnas;;;;
13;6;Virgen de la Sierra;;;;
13;7;Santa María del Guadiana;;;;
13;8;Tocón;;;;
13;9;Fuenmayor;;;;
13;10;Morrón;;;;
13;11;Torrecilla;;;;
13;12;Peñas Negrilla;;;;
13;13;Garganta;;;;
13;14;Sierra Morena;;;;
13;15;Riofrio;;;;
13;16;Baños de Villanarejo;;;;
13;17;Navalonguilla;;;;
13;18;San Enrique;;;;
13;19;Vallés del Término;;;;
13;20;Ribera Alta;;;;
13;21;Palillos;;;;
13;22;Ruidera;;;;
13;42;Caracollera;;;;
13;43;Sin nombre (código 43);;;;
13;44;Collado de la Estrella;;;;
13;45;Cabeza del Buey;;;;
13;46;Las Llanas;;;;
13;47;Puebla de Don Rodrigo;;;;
13;48;Gargantilla;;;;
13;49;Valderruco;;;;
13;50;Tablas de Daimiel;;;;
13;51;Morro Rodrigo;;;;
13;52;Puerto Niefla;;;;
13;53;Alcoba;0;0;0;
13;54;Morro Rodrigo;0;0;0;
13;55;Puertollano;0;0;0;
13;99;Vigilante de otra provincia;;;;
14;0;No determinado;;;;
14;1;Cerro del Sordo;;;;
14;2;Malagón;;;;
14;3;Cerro del Moro;;;;
14;4;La Lozana;;;;
14;5;Puente Nuevo;;;;
14;6;Las Traviesas;;;;
14;7;Los Llanos;;;;
14;8;Pedrejón Bajo;;;;
14;9;El Caballo;;;;
14;10;El Rincón;;;;
14;11;Vista Alegre;;;;
14;12;Las Erillas;;;;
14;13;La Atalaya;;;;
14;14;Navamuelas;;;;
14;15;Los Villares;;;;
14;16;El Quejido;;;;
14;17;Posadas;;;;
14;18;Aguas Potables;;;;
14;19;Los Puntales;;;;
14;20;Sierrezuela;;;;
14;21;Comunales;;;;
14;22;El Valle;;;;
14;23;Retamoso;;;;
14;24;Valdelosdoblados;;;;
14;25;Santa María;;;;
14;26;El Aguila;;;;
14;27;Cabra;;;;
14;28;Los Morales;;;;
14;29;Cerro del Puente;;;;
14;30;Palenciana;;;;
14;31;Rute;;;;
14;32;Laguna Amarga;;;;
14;33;Laguna Zoñar;;;;
14;34;Laguna de Tiscar;;;;
14;35;Laguna del Rincon;;;;
14;36;La Fuensanta;;;;
14;37;Mirador;;;;
14;38;Zuheros;;;;
14;39;La Señora;;;;
14;40;Santa Eufemia;;;;
14;41;Albayate;;;;
14;42;COP Córdoba;;;;
14;43;Fuenfría;30;342217;4221991;
14;44;Alcornocosas;30;369874;4221507;
14;45;La Serrezuela;30;315345;4187360;
14;99;Vigilante de otra provincia;;;;
15;0;No determinado;;;;
15;1;Penafesa;;;;
15;2;Coto do Pilar;;;;
15;3;Monte Pedroso;;;;
15;4;Santa Cecia;;;;
15;5;Muralla;;;;
15;6;Curota;;;;
15;7;Enxa;;;;
15;8;Monte Cando;;;;
15;9;Muros;;;;
15;10;Dumbria;;;;
15;11;Vimianzo;;;;
15;12;Neme;;;;
15;13;Rio do Sol;;;;
15;14;Trazo;;;;
15;15;Monte Xalo;;;;
15;16;Capelada;;;;
15;17;Faladora;;;;
15;18;Queimada;;;;
15;19;Sembra;;;;
15;20;Castro Maior;;;;
15;21;Pico Agudo;;;;
15;22;Loma Estivada;;;;
15;23;Sin nombre (código 23);;;;
15;30;Sin nombre (código 30);;;;
15;31;Sin nombre (código 31);;;;
15;32;Sin nombre (código 32);;;;
15;33;Sin nombre (código 33);;;;
15;37;Sin nombre (código 37);;;;
15;40;Sin nombre (código 40);;;;
15;41;Sin nombre (código 41);;;;
15;42;Sin nombre (código 42);;;;
15;43;Sin nombre (código 43);;;;
15;44;Sin nombre (código 44);;;;
15;45;Sin nombre (código 45);;;;
15;46;Sin nombre (código 46);;;;
15;47;Sin nombre (código 47);;;;
15;49;Sin nombre (código 49);;;;
15;50;Sin nombre (código 50);0;0;0;
15;51;Sin nombre (código 51);;;;
15;52;Sin nombre (código 52);;;;
15;53;Sin nombre (código 53);;;;
15;54;Sin nombre (código 54);;;;
15;55;Sin nombre (código 55);;;;
15;60;Sin nombre (código 60);0;0;0;
15;61;Sin nombre (código 61);;;;
15;62;Sin nombre (código 62);;;;
15;63;Sin nombre (código 63);;;;
15;69;Sin nombre (código 69);;;;
15;70;Sin nombre (código 70);0;0;0;
15;71;Sin nombre (código 71);;;;
15;72;Sin nombre (código 72);;;;
15;73;Sin nombre (código 73);;;;
15;74;Sin nombre (código 74);;;;
15;75;Sin nombre (código 75);;;;
15;76;Sin nombre (código 76);;;;
15;77;Sin nombre (código 77);;;;
15;81;Sin nombre (código 81);;;;
15;82;Sin nombre (código 82);;;;
15;85;Sin nombre (código 85);;;;
15;88;Sin nombre (código 88);;;;
15;89;Coto Agudo;0;0;0;
15;99;Vigilante de otra provincia;;;;
16;0;No determinado;;;;
16;1;Pozorruz;;;;
16;2;Cabrejas;;;;
16;3;C.Candalar;;;;
16;4;C.Sancho;;;;
16;5;C.Gordo;;;;
16;6;Valsalobre;;;;
16;7;Masegosa;;;;
16;8;Las Decimadas;;;;
16;9;El Pozuelo;;;;
16;10;El Codorzo;;;;
16;11;Almodovar;;;;
16;12;Valdeganga;;;;
16;13;Vertientes;;;;
16;14;Palancares;;;;
16;15;Cueva Santilla;;;;
16;16;Caracenilla;;;;
16;17;La Modorra;;;;
16;18;Cabeza Don Pedro;;;;
16;19;Cabezas de Boniches;;;;
16;20;Cabeza del Hoyo;;;;
16;21;Zafrilla;;;;
16;22;El Tormo;;;;
16;23;San Pedro Mártir;;;;
16;24;Mira;;;;
16;25;La Bandera;;;;
16;26;Valdemeca;;;;
16;27;La Mogorrita;;;;
16;28;Sierra del Rodenal;;;;
16;29;El Tobar;;;;
16;30;Monteagudo;;;;
16;31;Arguisuelas;;;;
16;32;El Herrumblar;;;;
16;33;El Ardal;;;;
16;34;San Cristobal;;;;
16;35;Cardenete;;;;
16;36;Tinajas;;;;
16;37;Salvacañete;;;;
16;38;Paracuellos;;;;
16;39;Sotos;;;;
16;40;Henarejos;;;;
16;41;Alarcón;;;;
16;42;Aliaguilla;;;;
16;49;Sin determinar (código 49);0;0;0;
16;51;Sin determinar (Código 51);0;0;0;
16;99;Vigilante de otra provincia;;;;
17;0;No determinado;;;;
17;1;Mont Barbat;;;;
17;2;Puig Cadiretes;;;;
17;3;Can Mundet;;;;
17;4;Puig de Can Viader;;;;
17;5;Torre de Llagostera;;;;
17;6;Can Planes;;;;
17;7;Puig de Arques;;;;
17;8;Santa Barbara;;;;
17;9;Puig Caramany;;;;
17;10;Els Angels;;;;
17;11;Sant Grau;;;;
17;12;Mont-Pla;;;;
17;13;Rocacorba;;;;
17;14;Mare de Deu del Mont;;;;
17;15;Santa Magdalena;;;;
17;16;Sant Pere de Roda;;;;
17;17;La Altrera;;;;
17;18;Puig de Esquers;;;;
17;19;Salines;;;;
17;99;Vigilante de otra provincia;;;;
18;0;No determinado;;;;
18;1;Puntal Blanco;;;;
18;2;Choza Foguero;;;;
18;3;Casa Varela;;;;
18;4;El Calar;;;;
18;5;Cerro Almendro;;;;
18;6;Perico Ruiz;;;;
18;7;Castril;;;;
18;8;Orce;;;;
18;10;Zujar;;;;
18;11;Santa Bárbara;;;;
18;12;Puntal Alto;;;;
18;13;El Marchal;;;;
18;14;Cerro Pingano;;;;
18;15;Cerro Padilla;;;;
18;16;Cerro la Cabra;;;;
18;17;La Sierrecilla de Iznalloz;;;;
18;18;Moclín;;;;
18;19;Mirador;;;;
18;20;Parapanda;;;;
18;21;Las Minas;;;;
18;22;Buenavista;;;;
18;23;Puerto Lobo;;;;
18;24;Sierra la Peza;;;;
18;25;Quentar;;;;
18;26;Generalife;;;;
18;27;Umbría Muñoces;;;;
18;28;La Torrecilla;;;;
18;29;Pozo Herrero;;;;
18;30;Mesa Fornes;;;;
18;31;Lopera;;;;
18;32;Tres Lindes;;;;
18;33;Salto del Caballo;;;;
18;34;Jerez Marquesado;;;;
18;35;Puerto La Ragua;;;;
18;36;Maiselvilla;;;;
18;37;Hueneja;;;;
18;38;Los Poyos;;;;
18;39;Boca La Pescá;;;;
18;41;Laroles;;;;
18;42;Válor;;;;
18;43;Cerro Gordo;;;;
18;45;La Atalaya de Soportujar;;;;
18;46;El Portichuelo de Castaras;;;;
18;47;El Cerrajón;;;;
18;48;Cerro Salchicha;;;;
18;49;Cortijo Burgos;;;;
18;80;Sierra Umbría (desaparecido 1999);;;;
18;81;Cecop (desaparecido 1999);;;;
18;82;C.Espartal (desaparecido 1999);;;;
18;83;Cullar (desaparecido 1999);;;;
18;84;Carramaiza (desaparecido 1999);;;;
18;85;Pedro Martínez (desaparecdio 1999);;;;
18;86;Montefria (desaparecido 1999);;;;
18;87;Las Víboras (desaparecido 1999);;;;
18;88;Atalaya (desaparecido 1999);;;;
18;89;Fuente Moral (desaparecido 1999);;;;
18;90;Ermita Vieja (desaparecido 1999);;;;
18;91;Capileira (desparecido 1999);;;;
18;99;Vigilante de otra provincia;;;;
19;0;No determinado;;;;
19;1;Galve de Sorbe;;;;
19;2;Mojon Cimero;;;;
19;3;Almiruete;;;;
19;4;Veguillas;;;;
19;5;Iniestola;;;;
19;6;Solanillos;;;;
19;7;Taracena;;;;
19;8;Auñon;;;;
19;9;Albalate;;;;
19;10;Ciruelos;;;;
19;11;Selas;;;;
19;12;Torremocha;;;;
19;13;Corduente;;;;
19;14;Molina;;;;
19;15;Cabeza Betera;;;;
19;16;Zaorejas;;;;
19;17;Arbeteta;;;;
19;18;Mogorrita;;;;
19;19;Peñalen;;;;
19;20;Poveda;;;;
19;21;Alcoroches;;;;
19;22;Peralejos;;;;
19;23;Orea;;;;
19;24;Sierra Molina;;;;
19;25;Palmaces;;;;
19;26;La Vihuela;;;;
19;27;Atienza;;;;
19;28;Los Llanos;;;;
19;29;Siguenza;;;;
19;30;Riba de Saelices;;;;
19;31;Tortuero;;;;
19;32;Aragoncillo;;;;
19;33;Hontanillas/Torronteras;;;;
19;42;Sin determinar (código 42);0;0;0;
19;99;Vigilante de otra provincia;;;;
20;0;No determinado;;;;
20;99;Vigilante de otra provincia;;;;
21;0;No determinado;;;;
21;1;Abalario;;;;
21;2;Alto la Jara;;;;
21;4;Doña María;;;;
21;6;El Bujo;;;;
21;7;El Cejo;;;;
21;8;El Centinela;;;;
21;9;El Cobujón;;;;
21;10;El Encinar;;;;
21;11;El Guijo;;;;
21;12;El Sardón;;;;
21;13;La Asomadilla;;;;
21;14;La Atalaya;;;;
21;15;La Laguna;;;;
21;16;La Peña;0;0;0;
21;17;La Peñuela;;;;
21;18;Las Ánimas;;;;
21;19;Las Cumbres;;;;
21;20;Los Barreros;;;;
21;21;Majadillas;;;;
21;22;Malatao;;;;
21;24;Metalica;;;;
21;25;San Cristobal 1SU;;;;
21;26;San Cristobal 2NO;;;;
21;27;Santa Bárbara;;;;
21;28;Sierra Ortiz;;;;
21;29;Sierra Pelada;;;;
21;30;Santa Catalina;;;;
21;31;Torre del Agua;;;;
21;32;Torres de Navasfresno (IBERSILVA);;;;
21;33;Sin definir 33;;;;
21;34;Sin definir 34;;;;
21;35;El Gato;0;0;0;
21;36;Manecorro;30;189492;411415;
21;37;La Plata;30;129772;420295;
21;38;Marismillas;30;198931;408194;
22;0;No determinado;;;;
22;1;Sierra Dos Rios;30;682168;4731835;
22;2;Puxilibro;30;696386;4690474;
22;3;Pico del Aguila;30;714162;4686320;
22;4;Sierra Sevil;30;746354;4679671;
22;5;Collado Lagurrres;30;786907;4674400;
22;6;Santa Orosia-Val Ancha;;;;
22;7;Monrepos;;;;
22;8;Fartue;30;744088;4699350;
22;9;San Quilez;30;787720;4654869;
22;10;Mas del Hombre;30;753921;4590066;
22;11;Loporzano;30;719756;4666652;
22;12;Picardiello;30;725592;4692044;
22;13;Sierra de Sis;30;799812;4694138;
22;14;Tozal Gordo;30;768962;4671966;
22;15;San Salvador;30;687409;4709096;
22;16;Sin nombre (código 16);;;;
22;45;Santa Quiteria;;;;
22;54;Sin nombre (código 54);;;;
22;59;Puchinebro;30;707838;4624396;
22;61;Tozal de Palo;30;766285;4690249;
22;62;Sierra Salinas;30;680381;4696690;
22;63;San Juan de Flumen;30;730307;4626849;
22;65;Sierra Mayor;30;677366;4687979;
22;98;Cervin;30;780091;4704416;
22;99;Vigilante de otra provincia;;;;
22;100;Güe;30;717437;4717005;
22;101;El Cebollar;30;735976;4726620;
22;102;Tella;30;760733;4718526;
22;103;Comiello;30;744098;4715241;
23;0;No determinado;;;;
23;1;Valquemado;;;;
23;2;Valdelipe;;;;
23;3;La Virgen-Jarabancil;;;;
23;4;Selladores-Contadero;;;;
23;5;El Centenillo;;;;
23;6;C. La Estrella;;;;
23;7;C. Los Jardines;;;;
23;8;Descuernavacas;;;;
23;9;Carnicera;;;;
23;10;Sierra Padilla;;;;
23;11;Talancon;;;;
23;12;La Piedra;;;;
23;13;Siles;;;;
23;14;P. de la Agredea;;;;
23;15;Peñalta;;;;
23;16;Navalperal;;;;
23;17;La Morra;;;;
23;18;Fuente del Tejo;;;;
23;19;El Yelmo;;;;
23;20;La Bandera;;;;
23;21;La Misa;;;;
23;22;Las Hoyas;;;;
23;23;El Quijaron;;;;
23;24;Iznatoraf;;;;
23;25;Caballo de Torraso-El Caballo;;;;
23;26;La Campana;;;;
23;27;Los Morrones;;;;
23;28;C. del Almendral;;;;
23;29;Coto Rios;;;;
23;30;Navazalto;;;;
23;31;Majal Alto;;;;
23;32;Banderillas;;;;
23;33;P. Las Palomas;;;;
23;34;Cazorla;;;;
23;35;Poyos de la Mesa;;;;
23;36;Cuerda del Banderin;;;;
23;37;Cabañas;;;;
23;38;Puerto de Tisca;;;;
23;39;Peña de Quesada;;;;
23;40;Peña del Cambron;;;;
23;41;El Chantre;;;;
23;42;Sierra de Bedmar;;;;
23;43;Magina;;;;
23;44;Las Pedrizas;;;;
23;45;Peña del Aguila;;;;
23;46;Bco. Monasterio;;;;
23;47;Peña del Altar;;;;
23;48;Sierra del Trigo;;;;
23;49;Jaen;;;;
23;50;El Castillo;;;;
23;51;Jabalcuz;;;;
23;52;Torrecaniles;;;;
23;53;Sin nombre (código 53);;;;
23;54;Sierra Ahíllos;;;;
23;55;JV 109 Monuera;0;0;0;
23;99;Vigilante de otra provincia;;;;
24;0;No determinado;;;;
24;1;Camposagrado;;;;
24;2;Sosas;;;;
24;3;Castrocontrigo;;;;
24;4;Central Leon;;;;
24;5;Cueto Rosales;;;;
24;6;Fombasalla;;;;
24;7;Gistredo;;;;
24;8;Guiana;;;;
24;9;Hito Nuevo;;;;
24;10;La Candamia;;;;
24;11;Peña Aguda;;;;
24;12;Pico Cueto;;;;
24;13;Rio Camba;;;;
24;14;Rio de Prados;;;;
24;15;San Jorge;;;;
24;16;Sotillos;;;;
24;17;Pozofierro;;;;
24;18;Truchillas;;;;
24;19;Veiga;;;;
24;20;Sin nombre (código 20);;;;
24;21;Sin nombre (código 21);;;;
24;35;Sin nombre (código 35);;;;
24;41;Sin nombre (código 41);;;;
24;42;Sin nombre (código 42);;;;
24;43;Sin nombre (código 43);;;;
24;44;Baillo;30;213500;4688270;
24;45;Tabillon;30;197152;4752403;
24;46;Manzaneda;30;287231;4636960;
24;99;Vigilante de otra provincia;;;;
25;0;No determinado;;;;
25;1;Pic Gualter;;;;
25;2;Santuari de Pinos;31;379364;4633094;
25;3;Coll de Arnat;;;;
25;4;Pic del Orri;;;;
25;5;Collades del Padro;;;;
25;6;Montsec de Ares;31;315178;4656626;
25;7;Ermita de San Quiri;;;;
25;8;Pleta Verde;31;322900;4681890;
25;9;Cap de Boumort;;;;
25;10;Ermita de Montealegre;;;;
25;11;Serra de la Llena;31;328600;4579912;
25;12;Diposit de Maials;;;;
25;13;Sant Aventi;;;;
25;14;El Coscollet;31;356784;4663869;
25;15;La Creu del Codo;;;;
