IdCausa;Descripcion;DescripcionCorta;IdIdioma;IdCausaEuropa;DescripcionEuropa
221;Quema de matorral;Quema de matorral;0;ES_221;Bush Burning
221; Crema de matoll; Crema de matoll;1;ES_221;Bush Burning
221; Garbiketa sasiak; Garbiketa sasiak;2;ES_221;Bush Burning
221; Matorral ardente; Matorral ardente;3;ES_221;Bush Burning
221; Crema de matoll; Crema de matoll;4;ES_221;Bush Burning
221; Crema de matoll; Crema de matoll;5;ES_221;Bush Burning
222;Quema de herbáceas;Quema de herbáceas;0;ES_222;Burning of herbaceous
222; Crema dherbàcies; Crema dherbàcies;1;ES_222;Burning of herbaceous
222; Belar erretzea; Belar erretzea;2;ES_222;Burning of herbaceous
222; Queima herbácea; Queima herbácea;3;ES_222;Burning of herbaceous
222; Crema dherbàcies; Crema dherbàcies;4;ES_222;Burning of herbaceous
222; Crema dherbàcies; Crema dherbàcies;5;ES_222;Burning of herbaceous
230;Otras quemas en trabajos forestales (conocidas);Otras quemas en trabajos forestales (conocidas);0;ES_203;Forest works
230;Altres cremes en treballs forestals (conegudes);Altres cremes en treballs forestals (conegudes);1;ES_203;Forest works
230;Basoetako beste erredurak (ezagunak);Basoetako beste erredurak (ezagunak);2;ES_203;Forest works
230;Outras quemaduras nas obras forestales (coñecidas);Outras quemaduras nas obras forestales (coñecidas);3;ES_203;Forest works
230;Altres cremes en treballs forestals (conegudes);Altres cremes en treballs forestals (conegudes);4;ES_203;Forest works
230;Altres cremes en treballs forestals (conegudes);Altres cremes en treballs forestals (conegudes);5;ES_203;Forest works
231;Quemas de eliminación de restos forestales;Quemas de eliminación de restos forestales;0;ES_203;Forest works
231;Cremes deliminació de restes forestals;Cremes deliminació de restes forestals;1;ES_203;Forest works
231;Basoko hondakinak ezabatzea;Basoko hondakinak ezabatzea;2;ES_203;Forest works
231;Queima de eliminación de residuos;Queima de eliminación de residuos;3;ES_203;Forest works
231;Cremes deliminació de restes forestals;Cremes deliminació de restes forestals;4;ES_203;Forest works
231;Cremes deliminació de restes forestals;Cremes deliminació de restes forestals;5;ES_203;Forest works
240;Otros tipos de hogueras (conocidas);Otros tipos de hogueras (conocidas);0;ES_240;Campfires
240;Altres tipus de fogueres (conegudes);Altres tipus de fogueres (conegudes);1;ES_240;Campfires
240;Beste mota batzuk suak (ezagunak);Beste mota batzuk suak (ezagunak);2;ES_240;Campfires
240;Outros tipos de hogueras (coñecidas);Outros tipos de hogueras (coñecidas);3;ES_240;Campfires
240;Altres tipus de fogueres (conegudes);Altres tipus de fogueres (conegudes);4;ES_240;Campfires
240;Altres tipus de fogueres (conegudes);Altres tipus de fogueres (conegudes);5;ES_240;Campfires
241;Hogueras;Hogueras;0;ES_240;Campfires
241;Fogueres;Fogueres;1;ES_240;Campfires
241;Suak;Suak;2;ES_240;Campfires
241;Fogueiras;Fogueiras;3;ES_240;Campfires
241;Fogueres;Fogueres;4;ES_240;Campfires
241;Fogueres;Fogueres;5;ES_240;Campfires
242;Barbacoas fijas;Barbacoas fijas;0;ES_240;Campfires
242;Barbacoes fixes;Barbacoes fixes;1;ES_240;Campfires
242;Barbakoak errea;Barbakoak errea;2;ES_240;Campfires
242;Barbacoas fixadas;Barbacoas fixadas;3;ES_240;Campfires
242;Barbacoes fixes;Barbacoes fixes;4;ES_240;Campfires
242;Barbacoes fixes;Barbacoes fixes;5;ES_240;Campfires
243;Hogueras y barbacoas -Elementos portátiles (hornilllos, etc.);Hogueras y barbacoas - Elementos portátiles (hornilllos, etc.);0;ES_240;Campfires
243;Fogueres i barbacoes Elements portàtils (hornilllos, etc.);Elementos portátiles (hornilllos, etc.);1;ES_240;Campfires
243;Hozkailuak eta barbakoak - Elementu eramangarriak (erregailuak, etab.);Hozkailuak eta barbakoak - Elementu eramangarriak (erregailuak, etab.);2;ES_240;Campfires
243;Fogatas e grellas - Elementos portátiles (queimadores, etc.);Fogatas e grellas - Elementos portátiles (queimadores, etc.);3;ES_240;Campfires
243;Fogueres i barbacoes Elements portàtils (hornilllos, etc.);Elementos portátiles (hornilllos, etc.);4;ES_240;Campfires
243;Fogueres i barbacoes Elements portàtils (hornilllos, etc.);Elementos portátiles (hornilllos, etc.);5;ES_240;Campfires
244;Vertidos de brasas y/o cenizas;Vertidos de brasas y/o cenizas;0;ES_240;Campfires
244;Abocaments de brases i / o cendres;Abocaments de brases i / o cendres;1;ES_240;Campfires
244;Baleak eta / edo errautsak igortzea;Baleak eta / edo errautsak igortzea;2;ES_240;Campfires
244;Emisións de brasas e / ou cinzas;Emisións de brasas e / ou cinzas;3;ES_240;Campfires
244;Abocaments de brases i / o cendres;Abocaments de brases i / o cendres;4;ES_240;Campfires
244;Abocaments de brases i / o cendres;Abocaments de brases i / o cendres;5;ES_240;Campfires
250;Fumadores;Fumadores;0;ES_250;Smokers
250;Fumadors;Fumadors;1;ES_250;Smokers
250;Erretzaileak;Erretzaileak;2;ES_250;Smokers
250;Fumadores;Fumadores;3;ES_250;Smokers
250;Fumadors;Fumadors;4;ES_250;Smokers
250;Fumadors;Fumadors;5;ES_250;Smokers
260;Otros incendios  por quema de basuras (conocidas);Otros incendios  por quema de basuras (conocidas);0;ES_260;Rubbish burning
260;Altres incendis per crema descombraries (conegudes);Altres incendis per crema descombraries (conegudes);1;ES_260;Rubbish burning
260;Beste suteak zaborra erretzea (ezaguna);Beste suteak zaborra erretzea (ezaguna);2;ES_260;Rubbish burning
260;Outros incendios pola queima de lixo (coñecido);Outros incendios pola queima de lixo (coñecido);3;ES_260;Rubbish burning
260;Altres incendis per crema descombraries (conegudes);Altres incendis per crema descombraries (conegudes);4;ES_260;Rubbish burning
260;Altres incendis per crema descombraries (conegudes);Altres incendis per crema descombraries (conegudes);5;ES_260;Rubbish burning
261;Punto ilegal de vertidos/ Zona de acumulación de basuras;Punto ilegal de vertidos/ Zona de acumulación de basuras;0;ES_260;Rubbish burning
261;Punt il·legal dabocaments / Zona dacumulació descombraries;Punt il·legal dabocaments / Zona dacumulació descombraries;1;ES_260;Rubbish burning
261;Isurketa puntu ilegala / Hondakinen metaketa gunea;Isurketa puntu ilegala / Hondakinen metaketa gunea;2;ES_260;Rubbish burning
261;Punto de derramamento ilegal / área de acumulación de lixo;Punto de derramamento ilegal / área de acumulación de lixo;3;ES_260;Rubbish burning
261;Punt il·legal dabocaments / Zona dacumulació descombraries;Punt il·legal dabocaments / Zona dacumulació descombraries;4;ES_260;Rubbish burning
261;Punt il·legal dabocaments / Zona dacumulació descombraries;Punt il·legal dabocaments / Zona dacumulació descombraries;5;ES_260;Rubbish burning
262;Quema puntual de basura;Quema puntual de basura;0;ES_260;Rubbish burning
262;Crema puntual descombraries;Crema puntual descombraries;1;ES_260;Rubbish burning
262;Zaborra erretzea puntuala;Zaborra erretzea puntuala;2;ES_260;Rubbish burning
262; Queima puntual de lixo; Queima puntual de lixo;3;ES_260;Rubbish burning
262;Crema puntual descombraries;Crema puntual descombraries;4;ES_260;Rubbish burning
262;Crema puntual descombraries;Crema puntual descombraries;5;ES_260;Rubbish burning
270;Escape de vertedero;Escape de vertedero;0;ES_270;Escape from a garbage dump
270;Fuites dabocador;Fuites dabocador;1;ES_270;Escape from a garbage dump
270;Zabortegi-ihesbidea;Zabortegi-ihesbidea;2;ES_270;Escape from a garbage dump
270;Escapes de vertedoiro;Escapes de vertedoiro;3;ES_270;Escape from a garbage dump
270;Fuites dabocador;Fuites dabocador;4;ES_270;Escape from a garbage dump
270;Escapaments dabocador;Escapaments dabocador;5;ES_270;Escape from a garbage dump
280;Otras quemas de limpieza;Otras quemas de limpieza (sin especificar);0;ES_280;Bush burning
280;Altres cremes de neteja;Altres cremes de neteja (sense especificar);1;ES_280;Bush burning
280;Beste garbiketa erredurak;Beste garbiketa erredurak (zehaztugabea);2;ES_280;Bush burning
280;Outras queimaduras de limpeza;Outras queimaduras de limpeza (sen especificar);3;ES_280;Bush burning
280;Altres cremes de neteja;Altres cremes de neteja (sense especificar);4;ES_280;Bush burning
280;Altres cremes de neteja;Altres cremes de neteja (sense especificar);5;ES_280;Bush burning
281;Limpieza de vegetación próxima a edificaciones;Limpieza de vegetación próxima a edificaciones;0;ES_281;Bush burning near to buildings
281;Neteja de vegetació pròxima a edificacions;Neteja de vegetació pròxima a edificacions;1;ES_281;Bush burning near to buildings
281;Eraikinetatik hurbileko landaretza garbitzea;Eraikinetatik hurbileko landaretza garbitzea;2;ES_281;Bush burning near to buildings
281;Vegetación de limpeza preto dos edificios;Vegetación de limpeza preto dos edificios;3;ES_281;Bush burning near to buildings
281;Neteja de vegetació pròxima a edificacions;Neteja de vegetació pròxima a edificacions;4;ES_281;Bush burning near to buildings
281;Neteja de vegetació pròxima a edificacions;Neteja de vegetació pròxima a edificacions;5;ES_281;Bush burning near to buildings
282;Limpieza de accesos (pistas, caminos , sendas, etc);Limpieza de accesos (pistas, caminos , sendas, etc);0;ES_282;Bush burning with the purpose of clearing tracks and paths
282;Neteja daccessos (pistes, camins, sendes, etc);Neteja daccessos (pistes, camins, sendes, etc);1;ES_282;Bush burning with the purpose of clearing tracks and paths
282;Sarbideen garbiketa (ibilbideak, errepideak, bideak, etab.);Sarbideen garbiketa (ibilbideak, errepideak, bideak, etab.);2;ES_282;Bush burning with the purpose of clearing tracks and paths
282;Limpeza de accesos (vías, estradas, camiños, etc.);Limpeza de accesos (vías, estradas, camiños, etc.);3;ES_282;Bush burning with the purpose of clearing tracks and paths
282;Neteja daccessos (pistes, camins, sendes, etc);Neteja daccessos (pistes, camins, sendes, etc);4;ES_282;Bush burning with the purpose of clearing tracks and paths
282;Neteja daccessos (pistes, camins, sendes, etc);Neteja daccessos (pistes, camins, sendes, etc);5;ES_282;Bush burning with the purpose of clearing tracks and paths
283;Limpieza de vegetación para control de animales nocivos (plagas, conejos, etc.);Limpieza de vegetación para control de animales nocivos (plagas, conejos, etc.);0;ES_283;Bush burning to eliminate refuges of harmful fauna
283;Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);1;ES_283;Bush burning to eliminate refuges of harmful fauna
283;Limpieza de vegetación para control de animales nocivos (plagas, conejos, etc.);Limpieza de vegetación para control de animales nocivos (plagas, conejos, etc.);2;ES_283;Bush burning to eliminate refuges of harmful fauna
283;Limpeza da vexetación para o control de animais nocivos (pragas, coellos, etc.);Limpeza da vexetación para o control de animais nocivos (pragas, coellos, etc.);3;ES_283;Bush burning to eliminate refuges of harmful fauna
283;Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);4;ES_283;Bush burning to eliminate refuges of harmful fauna
283;Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);Neteja de vegetació per a control danimals nocius (plagues, conills, etc.);5;ES_283;Bush burning to eliminate refuges of harmful fauna
284;Limpieza de lindes y bordes de finca;Limpieza de lindes y bordes de finca;0;ES_213;Fires on the boundaries of farms or plots
284;Neteja de límits i vores de finca;Neteja de límits i vores de finca;1;ES_213;Fires on the boundaries of farms or plots
284;Baserriko ertzak eta mugak garbitu;Baserriko ertzak eta mugak garbitu;2;ES_213;Fires on the boundaries of farms or plots
284;Limpar bordos e bordos da facenda;Limpar bordos e bordos da facenda;3;ES_213;Fires on the boundaries of farms or plots
284;Neteja de límits i vores de finca;Neteja de límits i vores de finca;4;ES_213;Fires on the boundaries of farms or plots
284;Neteja de límits i vores de finca;Neteja de límits i vores de finca;5;ES_213;Fires on the boundaries of farms or plots
285;Limpiezas de riberas y cauces (Cañar, etc);Limpiezas de riberas y cauces (Cañar, etc);0;ES_215;Other fires set for agricultural purposes
285;Neteges de riberes i lleres (Cañar, etc);Neteges de riberes i lleres (Cañar, etc);1;ES_215;Other fires set for agricultural purposes
285;Banku eta kanalen garbiketa (Cañar, etab.);Banku eta kanalen garbiketa (Cañar, etab.);2;ES_215;Other fires set for agricultural purposes
285;Limpeza de bancos e canles (Cañar, etc.);Limpeza de bancos e canles (Cañar, etc.);3;ES_215;Other fires set for agricultural purposes
285;Neteges de riberes i lleres (Cañar, etc);Neteges de riberes i lleres (Cañar, etc);4;ES_215;Other fires set for agricultural purposes
285;Neteges de riberes i lleres (Cañar, etc);Neteges de riberes i lleres (Cañar, etc);5;ES_215;Other fires set for agricultural purposes
286;Limpieza de infraestructuras de riego (acequias,cavas, etc.);Limpieza de infraestructuras de riego (acequias,cavas, etc.);0;ES_214;Fires in the edges of irrigation ditches
286;Neteja dinfraestructures de reg (sèquies, caves, etc.);Neteja dinfraestructures de reg (sèquies, caves, etc.);1;ES_214;Fires in the edges of irrigation ditches
286;Ureztapen azpiegituren garbiketa (garbiketak, upategiak, etab.);Ureztapen azpiegituren garbiketa (garbiketak, upategiak, etab.);2;ES_214;Fires in the edges of irrigation ditches
286;Limpeza das infraestruturas de rega (gabias, bodegas, etc.);Limpeza das infraestruturas de rega (gabias, bodegas, etc.);3;ES_214;Fires in the edges of irrigation ditches
286;Neteja dinfraestructures de reg (sèquies, caves, etc.);Neteja dinfraestructures de reg (sèquies, caves, etc.);4;ES_214;Fires in the edges of irrigation ditches
286;Neteja dinfraestructures de reg (sèquies, caves, etc.);Neteja dinfraestructures de reg (sèquies, caves, etc.);5;ES_214;Fires in the edges of irrigation ditches
290;Otras causas no intencionales;Otras causas no intencionales (sin especificar);0;ES_290;Other negligence
290;Altres causes no intencionals;Altres causes no intencionals (sense determinar);1;ES_290;Other negligence
290;Beste nahigabeko arrazoiak;Beste nahigabeko arrazoiak (zehaztugabea);2;ES_290;Other negligence
290;Outras causas non intencionadas;Outras causas non intencionadas (indeterminadas);3;ES_290;Other negligence
290;Altres causes no intencionals;Altres causes no intencionals (sense determinar);4;ES_290;Other negligence
290;Altres causes no intencionals;Altres causes no intencionals (sense determinar);5;ES_290;Other negligence
291;Apicultura;Apicultura;0;ES_291; Apiculture
291;Apicultura;Apicultura;1;ES_291; Apiculture
291;Erlezaintza;Erlezaintza;2;ES_291; Apiculture
291;Apicultura;Apicultura;3;ES_291; Apiculture
291;Apicultura;Apicultura;4;ES_291; Apiculture
291;Apicultura;Apicultura;5;ES_291; Apiculture
292;Fuegos artificiales (petardos, cohetes,etc.);Fuegos artificiales (petardos, cohetes,etc.);0;ES_292;Fire works
292;Focs artificials (petards, coets, etc..);Focs artificials (petards, coets, etc..);1;ES_292;Fire works
292;Su artifizialak (suziriak, koheteak, etab.);Su artifizialak (suziriak, koheteak, etab.);2;ES_292;Fire works
292;Fogos de artificio (foguetes, foguetes, etc.);Fogos de artificio (foguetes, foguetes, etc.);3;ES_292;Fire works
292;Focs artificials (petards, coets, etc..);Focs artificials (petards, coets, etc..);4;ES_292;Fire works
292;Focs artificials (petards, coets, etc..);Focs artificials (petards, coets, etc..);5;ES_292;Fire works
293;Globos aerostáticos;Globos aerostáticos;0;ES_293;Hot air ballon
293;globus aerostàtics;globus aerostàtics;1;ES_293;Hot air ballon
293;Hot air globoak;Hot air globoak;2;ES_293;Hot air ballon
293;Globos de aire quente;Globos de aire quente;3;ES_293;Hot air ballon
293;globus aerostàtics;globus aerostàtics;4;ES_293;Hot air ballon
293;globus aerostàtics;globus aerostàtics;5;ES_293;Hot air ballon
294;Gamberradas, juegos de niños (quema de pelusa de chopo, etc);Gamberradas, juegos de niños (quema de pelusa de chopo, etc);0;ES_294;Kid games
294;Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);1;ES_294;Kid games
294;Gamberradas, haurrentzako jolasak (poplar fluff erretzea, etab.);Gamberradas, haurrentzako jolasak (poplar fluff erretzea, etab.);2;ES_294;Kid games
294;Gamberradas, xogos infantís (queimadura de peluca de álamo, etc.);Gamberradas, xogos infantís (queimadura de peluca de álamo, etc.);3;ES_294;Kid games
294;Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);4;ES_294;Kid games
294;Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);Gamberrades, jocs de nens (crema de borrissol de pollancre, etc.);5;ES_294;Kid games
295;Quema de restos de poda o jardinería en urbanizaciones;Quema de restos de poda o jardinería en urbanizaciones;0;ES_295;Burning of pruning rests from gardens
295;Crema de restes de poda o jardineria en urbanitzacions;Crema de restes de poda o jardineria en urbanitzacions;1;ES_295;Burning of pruning rests from gardens
295;Inausketak edo urbanizazioetan lorategiak erretzea;Inausketak edo urbanizazioetan lorategiak erretzea;2;ES_295;Burning of pruning rests from gardens
295;Queima de restos de poda ou xardinería en urbanizacións;Queima de restos de poda ou xardinería en urbanizacións;3;ES_295;Burning of pruning rests from gardens
295;Crema de restes de poda o jardineria en urbanitzacions;Crema de restes de poda o jardineria en urbanitzacions;4;ES_295;Burning of pruning rests from gardens
295;Crema de restes de poda o jardineria en urbanitzacions;Crema de restes de poda o jardineria en urbanitzacions;5;ES_295;Burning of pruning rests from gardens
296;Empleo de explosivos;Empleo de explosivos;0;ES_296;Fires due other negligence cause
296; Ocupació dexplosius;Ocupació dexplosius;1;ES_296;Fires due other negligence cause
296;Lehergailuak erabiltzea;Lehergailuak erabiltzea;2;ES_296;Fires due other negligence cause
296;Uso de explosivos;Uso de explosivos;3;ES_296;Fires due other negligence cause
296;Ocupació dexplosius;Ocupació dexplosius;4;ES_296;Fires due other negligence cause
296;Ocupació dexplosius;Ocupació dexplosius;5;ES_296;Fires due other negligence cause
297;Incendios en infraestructuras (edificios, naves, mobiliario urbano, etc);Incendios en infraestructuras (edificios, naves, mobiliario urbano, etc);0;ES_296;Fires due other negligence cause
297;Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);1;ES_296;Fires due other negligence cause
297;Azpiegituretan (eraikinak, eraikinak, kale-altzariak, eta abar);Azpiegituretan (eraikinak, eraikinak, kale-altzariak, eta abar);2;ES_296;Fires due other negligence cause
297;Incendios en infraestruturas (edificios, edificios, mobiliario urbano, etc.);Incendios en infraestruturas (edificios, edificios, mobiliario urbano, etc.);3;ES_296;Fires due other negligence cause
297;Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);4;ES_296;Fires due other negligence cause
297;Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);Incendis en infraestructures (edificis, naus, mobiliari urbà, etc);5;ES_296;Fires due other negligence cause
298;Herraduras de caballo;Herraduras de caballo;0;ES_296;Fires due other negligence cause
298;Ferradures de cavall;Ferradures de cavall;1;ES_296;Fires due other negligence cause
298;Horse Horseshoes;Horse Horseshoes;2;ES_296;Fires due other negligence cause
298;Ferradura de cabalo;Ferradura de cabalo;3;ES_296;Fires due other negligence cause
298;Ferradures de cavall;Ferradures de cavall;4;ES_296;Fires due other negligence cause
298;Ferradures de cavall;Ferradures de cavall;5;ES_296;Fires due other negligence cause
299;Ritos pseudoreligiosos, satanismo, etc;Ritos pseudoreligiosos, satanismo, etc;0;ES_296;Fires due other negligence cause
299;Ritus pseudoreligiosos, satanisme, etc.;Ritus pseudoreligiosos, satanisme, etc.;1;ES_296;Fires due other negligence cause
299;Errito pseudo-erlijiosoak, Satanismoa, etab.;Errito pseudo-erlijiosoak, Satanismoa, etab.;2;ES_296;Fires due other negligence cause
299;Ritos pseudo-relixiosos, Satanismo, etc.;Ritos pseudo-relixiosos, Satanismo, etc.;3;ES_296;Fires due other negligence cause
299;Ritus pseudoreligiosos, satanisme, etc.;Ritus pseudoreligiosos, satanisme, etc.;4;ES_296;Fires due other negligence cause
299;Ritus pseudoreligiosos, satanisme, etc.;Ritus pseudoreligiosos, satanisme, etc.;5;ES_296;Fires due other negligence cause
300;Quema de cables para extraer cobre;Quema de cables para extraer cobre;0;ES_296;Fires due other negligence cause
300;Crema de cables per extreure coure;Crema de cables per extreure coure;1;ES_296;Fires due other negligence cause
300;Kobrea erauzteko kableak erauzteko;Kobrea erauzteko kableak erauzteko;2;ES_296;Fires due other negligence cause
300;Queima de cables para extraer cobre;Queima de cables para extraer cobre;3;ES_296;Fires due other negligence cause
300;Crema de cables per extreure coure;Crema de cables per extreure coure;4;ES_296;Fires due other negligence cause
300;Crema de cables per extreure coure;Crema de cables per extreure coure;5;ES_296;Fires due other negligence cause
301;Pavesas de incendios próximos;Pavesas de incendios próximos;0;ES_296;Fires due other negligence cause
301;Pavesas dincendis propers;Pavesas dincendis propers;1;ES_296;Fires due other negligence cause
301;Sutondoak datoz;Sutondoak datoz;2;ES_296;Fires due other negligence cause
301;Abrigo de lume chegando;Abrigo de lume chegando;3;ES_296;Fires due other negligence cause
301;Pavesas dincendis propers;Pavesas dincendis propers;4;ES_296;Fires due other negligence cause
301;Pavesas dincendis propers;Pavesas dincendis propers;5;ES_296;Fires due other negligence cause
302;Caza (cartuchos, cañones de redes, etc);Caza (cartuchos, cañones de redes, etc);0; ; 
302;Caça (cartutxos, canons de xarxes, etc);Caça (cartutxos, canons de xarxes, etc);1; ; 
302;Ehiza (kartutxoak, kanoi garbiak ...);Ehiza (kartutxoak, kanoi garbiak ...);2; ; 
302;Caza (cartuchos, canóns netos, etc.);Caza (cartuchos, canóns netos, etc.);3; ; 
302;Caça (cartutxos, canons de xarxes, etc);Caça (cartutxos, canons de xarxes, etc);4; ; 
302;Caça (cartutxos, canons de xarxes, etc);Caça (cartutxos, canons de xarxes, etc);5; ; 
303;Escape de chispas desde chimeneas;Escape de chispas desde chimeneas;0; ; 
303;Fuita despurnes des xemeneies;Fuita despurnes des xemeneies;1; ; 
303;Txinpartak tximinietatik ihes egiten dute;Txinpartak tximinietatik ihes egiten dute;2; ; 
303;As chispas escapan das chemineas;As chispas escapan das chemineas;3; ; 
303;Fuita despurnes des xemeneies;Fuita despurnes des xemeneies;4; ; 
303;Fuita despurnes des xemeneies;Fuita despurnes des xemeneies;5; ; 
310;Otras causas por ferrocarril;Otras causas por ferrocarril (sin especificar);0;ES_310;Railway
310;Outras causas por ferrocarril;Outras causas por ferrocarril (sen especificar);1;ES_310;Railway
310;Beste arrazoi batzuk trenez;Beste arrazoi batzuk trenez (zehaztu gabe);2;ES_310;Railway
310;Outras causas por ferrocarril;Outras causas por ferrocarril (sen especificar);3;ES_310;Railway
310;Outras causas por ferrocarril;Outras causas por ferrocarril (sen especificar);4;ES_310;Railway
310;Outras causas por ferrocarril;Outras causas por ferrocarril (sen especificar);5;ES_310;Railway
311;Ferrocarril (provocado por el convoy);Ferrocarril (provocado por el convoy);0;ES_310;Railway
