tipo;tabla;campo;referencia_tabla;referencia_campo;etiqueta;campos_en_la_clave;id_relacion;nota
catalogo;pif_deteccion;iddetectadopor;CodDetectadoPor;IdDetectadoPor;Nombre;1;12;
catalogo;pif_deteccion;idvigilantefijo;CodVigilanteFijo;IdVigilante;Nombre;1;103;
catalogo;pif_incidencias;idnivelgravedadmaximo;CodNivelGravedad;IdNivelGravedad;Descripcion;1;79;
catalogo;pif_localizacion;idcomarcaisla;ComarcaIsla;IdComarcaIsla;Nombre;2;104;
catalogo;pif_localizacion;idcomunidad;ComarcaIsla;IdComunidad;Nombre;2;104;
catalogo;pif_localizacion;idcomunidad;EntidadMenor;IdComunidad;Nombre;4;108;
catalogo;pif_localizacion;idcomunidad;Municipio;IdComunidad;Nombre;3;114;
catalogo;pif_localizacion;iddatum;CodDatum;IdDatum;Descripcion;1;10;
catalogo;pif_localizacion;identidadmenor;EntidadMenor;IdEntidadMenor;Nombre;4;108;
catalogo;pif_localizacion;idmunicipio;EntidadMenor;IdMunicipio;Nombre;4;108;
catalogo;pif_localizacion;idmunicipio;Municipio;IdMunicipio;Nombre;3;114;
catalogo;pif_localizacion;idprovincia;EntidadMenor;IdProvincia;Nombre;4;108;
catalogo;pif_localizacion;idprovincia;Municipio;IdProvincia;Nombre;3;114;
entre_catalogos;CodAprovechamiento;IdIdioma;CodIdioma;IdIdioma;Nombre;1;25;
entre_catalogos;CodAtaque;IdIdioma;CodIdioma;IdIdioma;Nombre;1;26;
entre_catalogos;CodAutorizacionActividad;IdIdioma;CodIdioma;IdIdioma;Nombre;1;27;
entre_catalogos;CodCausa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;28;
entre_catalogos;CodCausante;IdIdioma;CodIdioma;IdIdioma;Nombre;1;29;
entre_catalogos;CodCertidumbreCausa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;30;
entre_catalogos;CodClaseDia;IdIdioma;CodIdioma;IdIdioma;Nombre;1;31;
entre_catalogos;CodConsecuenciaPersona;IdIdioma;CodIdioma;IdIdioma;Nombre;1;32;
entre_catalogos;CodDemanialMonte;IdIdioma;CodIdioma;IdIdioma;Nombre;1;33;
entre_catalogos;CodDetectadoPor;IdIdioma;CodIdioma;IdIdioma;Nombre;1;34;
entre_catalogos;CodEstadoMasa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;35;
entre_catalogos;CodEstadoMasa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;36;
entre_catalogos;CodEstadoMasa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;37;
entre_catalogos;CodGradoResponsabilidad;IdIdioma;CodIdioma;IdIdioma;Nombre;1;38;
entre_catalogos;CodGrupoMedioRetardante;IdIdioma;CodIdioma;IdIdioma;Nombre;1;39;
entre_catalogos;CodIncidenciaProtecCivil;IdIdioma;CodIdioma;IdIdioma;Nombre;1;40;
entre_catalogos;CodIniciadoJuntoA;IdIdioma;CodIdioma;IdIdioma;Nombre;1;41;
entre_catalogos;CodInvestigacionCausa;IdIdioma;CodIdioma;IdIdioma;Nombre;1;42;
entre_catalogos;CodMedioAereo;IdIdioma;CodIdioma;IdIdioma;Nombre;1;43;
entre_catalogos;CodMedioPersonalExt;IdIdioma;CodIdioma;IdIdioma;Nombre;1;44;
entre_catalogos;CodMedioPesado;IdIdioma;CodIdioma;IdIdioma;Nombre;1;45;
entre_catalogos;CodModeloCombustion;IdIdioma;CodIdioma;IdIdioma;Nombre;1;46;
entre_catalogos;CodMotivacion;IdIdioma;CodIdioma;IdIdioma;Nombre;1;47;
entre_catalogos;CodNivelGravedad;IdIdioma;CodIdioma;IdIdioma;Nombre;1;48;
entre_catalogos;CodNoArboladoHerbaceo;IdIdioma;CodIdioma;IdIdioma;Nombre;1;49;
entre_catalogos;CodNoArboladoLenioso;IdIdioma;CodIdioma;IdIdioma;Nombre;1;50;
entre_catalogos;CodNoForestal;IdIdioma;CodIdioma;IdIdioma;Nombre;1;51;
entre_catalogos;CodPeligro;IdIdioma;CodIdioma;IdIdioma;Nombre;1;52;
entre_catalogos;CodPorcentajeAutoRegenerable;IdIdioma;CodIdioma;IdIdioma;Nombre;1;53;
entre_catalogos;CodRetardante;IdIdioma;CodIdioma;IdIdioma;Nombre;1;54;
entre_catalogos;CodRiesgo;IdIdioma;CodIdioma;IdIdioma;Nombre;1;55;
entre_catalogos;CodTipoArea;IdIdioma;CodIdioma;IdIdioma;Nombre;1;56;
entre_catalogos;CodTipoAtaqueIndirecto;IdIdioma;CodIdioma;IdIdioma;Nombre;1;57;
entre_catalogos;CodTipoEfecto;IdIdioma;CodIdioma;IdIdioma;Nombre;1;58;
entre_catalogos;CodTipoEfecto;IdIdioma;CodIdioma;IdIdioma;Nombre;1;59;
entre_catalogos;CodTipoEfecto;IdIdioma;CodIdioma;IdIdioma;Nombre;1;60;
entre_catalogos;CodTipoEspacioProtegido;IdIdioma;CodIdioma;IdIdioma;Nombre;1;61;
entre_catalogos;CodTipoFuego;IdIdioma;CodIdioma;IdIdioma;Nombre;1;62;
entre_catalogos;CodTipoProducto;IdIdioma;CodIdioma;IdIdioma;Nombre;1;63;
entre_catalogos;CodTipoRenta;IdIdioma;CodIdioma;IdIdioma;Nombre;1;64;
entre_catalogos;CodTipoVictima;IdIdioma;CodIdioma;IdIdioma;Nombre;1;65;
entre_catalogos;CodTitularidadMedio;IdIdioma;CodIdioma;IdIdioma;Nombre;1;66;
entre_catalogos;CodTitularidadMonte;IdIdioma;CodIdioma;IdIdioma;Nombre;1;67;
entre_catalogos;CodTransportePersonal;IdIdioma;CodIdioma;IdIdioma;Nombre;1;68;
entre_catalogos;CodVigilanteFijo;IdProvincia;Provincia;IdProvincia;Nombre;1;153;
entre_catalogos;ComarcaIsla;IdComunidad;Comunidad;IdComunidad;Nombre;1;105;
entre_catalogos;EntidadMenor;IdComunidad;Municipio;IdComunidad;Nombre;3;112;
entre_catalogos;EntidadMenor;IdMunicipio;Municipio;IdMunicipio;Nombre;3;112;
entre_catalogos;EntidadMenor;IdProvincia;Municipio;IdProvincia;Nombre;3;112;
entre_catalogos;EspacioProtegido;IdTipoEspacioProtegido;CodTipoEspacioProtegido;IdTipoEspacioProtegido;Descripcion;1;92;
entre_catalogos;Municipio;IdComunidad;Comunidad;IdComunidad;Nombre;1;106;
entre_catalogos;Municipio;IdProvincia;Provincia;IdProvincia;Nombre;1;154;
entre_catalogos;Provincia;IdComunidad;Comunidad;IdComunidad;Nombre;1;107;
union_parte;ParteMonte;numeroparte;Pif;NumeroParte;;1;123;
union_parte;Pif;NumeroParte;RelTipoAtaqueIndirectoPif;NumeroParte;;1;155;relacion invertida en la plantilla: el padre deberia ser Pif
union_parte;RelArboladoAfectadoParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;115;
union_parte;RelArboladoAfectadoParteMonte;NumeroParte;ParteMonte;numeroparte;;2;115;
union_parte;RelAsociadoPif;NumeroParte;Pif;NumeroParte;;1;136;
union_parte;RelAtaquePif;NumeroParte;Pif;NumeroParte;;1;137;
union_parte;RelEspacioProtegidoPif;NumeroParte;Pif;NumeroParte;;1;138;
union_parte;RelFactorCalculoPerdidaParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;116;
union_parte;RelFactorCalculoPerdidaParteMonte;NumeroParte;ParteMonte;numeroparte;;2;116;
union_parte;RelFactorProductoOtrosParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;117;
union_parte;RelFactorProductoOtrosParteMonte;NumeroParte;ParteMonte;numeroparte;;2;117;
union_parte;RelFactorRentaParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;118;
union_parte;RelFactorRentaParteMonte;NumeroParte;ParteMonte;numeroparte;;2;118;
union_parte;RelGrupoMedioRetardantePif;NumeroParte;Pif;NumeroParte;;1;139;
union_parte;RelIncidenciasProtecCivilPif;NumeroParte;Pif;NumeroParte;;1;140;
union_parte;RelIniciadoJuntoAPif;NumeroParte;Pif;NumeroParte;;1;141;
union_parte;RelMedioAereoPif;numeroparte;Pif;NumeroParte;;1;142;
union_parte;RelMedioPersonalPif;NumeroParte;Pif;NumeroParte;;1;143;
union_parte;RelMedioPesadoPif;NumeroParte;Pif;NumeroParte;;1;144;
union_parte;RelModeloCombustionPif;NumeroParte;Pif;NumeroParte;;1;145;
union_parte;RelNoArboladoHerbaceoParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;119;
union_parte;RelNoArboladoHerbaceoParteMonte;NumeroParte;ParteMonte;numeroparte;;2;119;
union_parte;RelNoArboladoLeniosoParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;120;
union_parte;RelNoArboladoLeniosoParteMonte;NumeroParte;ParteMonte;numeroparte;;2;120;
union_parte;RelNoForestalAfectadoParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;121;
union_parte;RelNoForestalAfectadoParteMonte;NumeroParte;ParteMonte;numeroparte;;2;121;
union_parte;RelOtraPerdidaParteMonte;IdParteMonte;ParteMonte;IdParteMonte;;2;122;
union_parte;RelOtraPerdidaParteMonte;NumeroParte;ParteMonte;numeroparte;;2;122;
union_parte;RelPerdidaMontePif;NumeroParte;Pif;NumeroParte;;1;146;
union_parte;RelRetardantePif;NumeroParte;Pif;NumeroParte;;1;147;
union_parte;RelTeselaAfectadaPif;numeroparte;Pif;NumeroParte;;1;148;
union_parte;RelTipoAreaIniciadoPif;NumeroParte;Pif;NumeroParte;;1;149;
union_parte;RelTipoFuegoPif;NumeroParte;Pif;NumeroParte;;1;150;
union_parte;RelTransportePersonalPif;NumeroParte;Pif;NumeroParte;;1;151;
union_parte;RelVictimaPif;NumeroParte;Pif;NumeroParte;;1;152;
union_parte;pif_anexo;numeroparte;Pif;NumeroParte;;1;124;
union_parte;pif_causa;numeroparte;Pif;NumeroParte;;1;125;
union_parte;pif_comun;numeroparte;Pif;NumeroParte;;1;126;
union_parte;pif_condiciones;numeroparte;Pif;NumeroParte;;1;127;
union_parte;pif_deteccion;numeroparte;Pif;NumeroParte;;1;128;
union_parte;pif_incidencias;numeroparte;Pif;NumeroParte;;1;129;
union_parte;pif_localizacion;numeroparte;Pif;NumeroParte;;1;130;
union_parte;pif_medios;numeroparte;Pif;NumeroParte;;1;131;
union_parte;pif_perdidas;numeroparte;Pif;NumeroParte;;1;132;
union_parte;pif_propagacion;numeroparte;Pif;NumeroParte;;1;133;
union_parte;pif_tecnicas;numeroparte;Pif;NumeroParte;;1;134;
union_parte;pif_tiempos;numeroparte;Pif;NumeroParte;;1;135;
